Road ID,Shapefile ID,Road Name,PCI,Road Quality,Running PCI,Surface Material,Material Thickness,Length,Width,Lifespan,Remaining Surface Life,Asset Value,Road Surface,Area,Road Owner,Road Category,Traffic Volume,Year Resurfaced,Road From,Road To
01KP4C8DY5HKE2W86KEZQCCSJ7,{64AA7D14-E336-463C-9929-3B4B6D91F44B},FUJI ST,98,A,'-1,asphalt,2,232.6784310814374,50,20,13 Years and 4 Months,22163.54388761438,paved,,City,Local,,,,HONEYCRISP ST
01KP4C8AS3S3JB69A0BD6N7A6Q,{CCBD2E11-4B12-46F3-9DA1-9FA02F697E43},MUTE SWANN ST,93,A,'-2,asphalt,2,160.42263762213966,50,20,10 Years and 7 Months,14157.297770153824,paved,,City,Local,,,TUNDRA SWANN LN,
01KP4C838F5WA4N6JT6DAS4C0T,{9FC9760F-1BE7-4863-8794-2479340CC006},CEDARCREST CIR,91,A,'-3,asphalt,2,190.6053221914335,40,20,9 Years and 11 Months,13029.537786502022,paved,,City,Cul-de-sac,,,OLD STONEHOUSE WAY,
01KP4C85JD94BG22NNBN8D1WT4,{0402F8B8-968E-49F2-A9AA-699ECA09639F},ORCHARD CIR,90,A,'-3,asphalt,2,212.67831844595133,60,20,9 Years and 7 Months,21450.12754612023,paved,,City,Cul-de-sac,,,,
01KP4C8DTTQT4W3YE6NWZP864P,{BDA93CC2-A796-45EC-A006-015350199203},HEMLOCK DR,87,A,12,asphalt,2,65.37402591846231,50,30,13 Years and 1 Months,5219.80466470389,paved,,City,Local,,,,
01KP4C7ZEXSNYT1NP890Y0J4EH,{8029884D-A3EC-4F75-9847-12DCCD7251A8},SPRINGWOOD DR,86,A,'-2.75,asphalt,2,1100.536832664009,50,20,8 Years and 6 Months,86331.0004289767,paved,,City,Local,,,ALEXANDER DR,OLD CREEK TRL
01KP4C7QV7AV9VAJP85XPY8HC7,{6EBD6B6C-6AC6-49CE-BA20-17799C4810F7},COUNTRY SQUIRE RD,86,A,0.2,asphalt,2,1117.3994728741877,60,20,8 Years and 6 Months,105184.53704655686,paved,,City,Local,,,OLD COUNTRY RD,HONEYSUCKLE DR
01KP4C7QV5SB6Y0VE1XQK3NVCP,{A9172A49-5B1D-4DE9-8088-7696B9D5A3D3},COUNTRY SQUIRE RD,85,A,'-0.37,asphalt,2,1227.531677187152,60,20,8 Years and 3 Months,113488.22625042168,paved,,City,Local,,,HONEYSUCKLE DR,ROCKY HILLS DR
01KP4C7VZDKR73Y8G2CKT4R5VF,{E2AFFFCD-06B4-48D5-93DA-21924FA8222B},ENTERPRISE DR,85,A,'-4,asphalt,2,185.0300148290597,80,20,8 Years and 3 Months,22808.620558134568,paved,,City,Local Commercial,,,TECHNOLOGY PKWY,
01KP4C7RDH7G0XPHE2E4HG3JEF,{A4770943-7D4F-44A4-B971-6BB978BEFF57},WHOOPER LN,85,A,4.25,asphalt,2,454.67918118169945,50,20,8 Years and 3 Months,35030.14405810593,paved,,City,Local,,,TRUMPETER ST,CYGNUS ST
01KP4C7ZEWY3DX2V5X0RTAKHRA,{9B5DF174-AAC2-4BF6-80E3-DF3864BEE3DF},SPRINGWOOD DR,85,A,'-3.69,asphalt,2,933.9774834454653,50,20,8 Years and 3 Months,71957.0350837052,paved,,City,Local,,,ROCKDELL LN,ALEXANDER DR
01KP4C8AS4N7W98HVB8PDSAQ9D,{9563E78D-A8EC-4FDE-A190-DF18E6807DAF},MUTE SWANN ST,85,A,'-6.12,asphalt,2,281.1198933078521,50,20,8 Years and 3 Months,21658.50289115852,paved,,City,Local,,,COSCOROBA RD,TUNDRA SWANN LN
